response_time_ms,retry_count,incorrect_streak,skip_rate,session_duration_minutes,time_of_day_hour,questions_answered,recent_accuracy,engagement_score,confusion_score
28657,0,6,0.0042,19.8,7,30,0.7743,0.5117,0.5154
12520,1,0,0.0625,50.58,4,77,0.9617,0.7754,0.0746
34005,0,2,0.1278,85.18,12,2,0.5051,0.7635,0.1534
36287,1,0,0.0306,48.49,9,98,0.5425,0.6507,0.2249
3000,0,0,0.035,16.52,21,91,0.802,0.533,0.1334
9374,0,4,0.0401,37.78,7,31,0.7851,0.6467,0.1001
26534,1,0,0.0992,56.19,8,96,0.4406,0.6623,0.1126
21205,3,2,0.2011,15.38,2,3,0.5418,0.468,0.4414
24798,0,2,0.0421,87.31,16,28,0.6805,0.7321,0.2274
14763,0,0,0.0164,33.84,21,100,0.7785,0.608,0.0892
35553,3,5,0.1919,49.37,15,62,0.4701,0.4352,0.7108
34334,0,0,0.0686,46.17,7,5,0.4697,0.5955,0.0238
25792,0,1,0.0278,13.08,2,19,0.704,0.5808,0.2105
38527,0,0,0.0761,10.33,14,89,0.8471,0.3598,0.1485
30610,1,0,0.0564,27.58,3,53,0.4869,0.5438,0.2222
14688,0,1,0.1021,62.96,16,56,0.9753,0.7853,0.1232
29425,3,4,0.0809,44.5,14,36,0.5035,0.6738,0.5498
13493,0,6,0.0414,40.82,2,6,0.3411,0.6007,0.416
35541,0,0,0.1165,54.63,21,79,0.813,0.6496,0.2749
24401,1,7,0.0559,61.56,17,70,0.3808,0.7166,0.6236
22782,0,2,0.0085,44.95,19,45,0.2954,0.7034,0.3368
16829,0,1,0.0667,24.72,19,1,0.3138,0.4364,0.1543
39670,2,1,0.0814,16.34,21,5,0.864,0.4025,0.2589
23146,3,1,0.0286,30.52,13,99,0.4603,0.6261,0.3908
19860,1,0,0.2907,86.2,20,41,0.3965,0.7589,0.0351
20774,0,5,0.0824,24.76,12,88,0.893,0.4798,0.3872
31388,1,0,0.1229,65.54,21,16,0.8847,0.614,0.2073
29385,0,1,0.0582,60.94,5,55,0.5985,0.6128,0.2212
29953,0,4,0.1393,14.81,4,36,0.6629,0.4748,0.3049
30170,0,1,0.0738,45.25,14,48,0.8021,0.6647,0.1707
50700,0,0,0.0369,41.34,4,49,0.5813,0.6576,0.2305
20123,0,1,0.0229,31.31,6,17,0.6128,0.5536,0.2047
18853,0,6,0.1772,80.79,3,75,0.6236,0.7985,0.4679
15235,0,2,0.2268,20.16,22,68,0.7507,0.3304,0.1009
32392,1,0,0.1258,76.5,8,53,0.5154,0.6835,0.1215
38548,2,3,0.0068,65.2,7,18,0.6132,0.7951,0.528
23633,0,0,0.0163,86.07,10,61,0.6044,0.8972,0.1
14918,2,0,0.069,46.53,22,67,0.8677,0.7107,0.2376
15106,1,2,0.1309,34.14,16,12,0.6556,0.5623,0.1792
32807,1,0,0.113,82.45,2,29,0.7564,0.8063,0.2779
33919,2,0,0.2684,54.07,3,24,0.6648,0.6896,0.3508
31518,0,2,0.0716,24.74,7,64,0.7338,0.5415,0.2609
17014,1,8,0.0435,85.95,23,86,0.5392,0.8897,0.6023
27786,0,0,0.0168,73.04,6,58,0.8651,0.7464,0.0559
26400,3,8,0.1641,14.18,20,19,0.5828,0.4775,0.7853
27624,0,1,0.0966,55.15,4,19,0.7205,0.7024,0.1475
35457,1,4,0.0915,71.39,20,65,0.7472,0.7319,0.4446
27683,0,2,0.1418,38.97,3,57,0.8177,0.516,0.1084
33147,0,1,0.05,68.1,12,71,0.7792,0.7869,0.1902
25811,0,0,0.1691,23.22,2,61,0.7022,0.4076,0.0024
28469,0,2,0.0477,35.68,9,30,0.6191,0.6204,0.2116
32575,0,6,0.067,44.5,19,18,0.6795,0.6141,0.3383
7514,0,0,0.1265,49.4,0,92,0.5119,0.6524,0.163
21164,2,1,0.0473,34.8,13,42,0.8443,0.6277,0.1062
19356,1,1,0.2543,35.1,1,93,0.5722,0.45,0.1397
17333,0,0,0.0619,26.11,20,93,0.7156,0.5276,0.0988
21698,1,0,0.0452,47.29,10,96,0.8953,0.7217,0.1236
42939,0,5,0.037,20.04,11,89,0.887,0.5154,0.4542
14610,2,3,0.1306,50.16,3,62,0.91,0.6735,0.3283
36619,1,8,0.2155,22.58,21,29,0.619,0.3631,0.5569
4806,1,5,0.0582,26.67,1,67,0.7233,0.6063,0.384
20981,0,5,0.0973,18.91,20,33,0.9488,0.5316,0.2926
26953,1,0,0.0474,13.77,17,6,0.8705,0.4205,0.0007
32035,1,1,0.0009,84.6,1,53,0.7945,1.0,0.1488
33535,0,1,0.0582,51.15,23,85,0.7445,0.6673,0.1423
34520,0,2,0.0463,49.99,7,14,0.7872,0.6959,0.1267
20815,2,4,0.0011,22.24,2,5,0.769,0.5342,0.4355
19452,3,8,0.0736,39.0,2,99,0.5515,0.6651,0.6966
35296,0,0,0.0085,65.39,17,87,0.5744,0.8292,0.1223
