user_id,concept_id,hours_since_last_review,review_count,average_correctness,retention_score
90,47,250.257,1,0.993,0.0
774,70,303.421,17,0.5074,0.1064
655,173,708.991,3,0.938,0.0105
439,21,61.078,15,0.9291,0.7683
434,22,80.833,1,0.8985,0.0092
859,61,313.749,18,0.411,0.0937
86,121,122.271,5,0.7618,0.2092
698,162,493.235,19,0.5659,0.0918
202,113,260.007,10,0.631,0.1028
95,99,609.346,12,0.4079,0.0
527,175,539.125,10,0.9841,0.129
976,35,339.245,15,0.4859,0.0518
736,181,608.463,5,0.901,0.0
762,63,73.039,10,0.3422,0.1314
718,56,418.601,5,0.8546,0.0126
787,191,435.893,16,0.8578,0.193
514,130,177.512,18,0.4827,0.1947
129,87,36.203,11,0.6972,0.5722
840,67,385.576,13,0.5084,0.0123
451,89,370.091,15,0.4474,0.0727
501,159,470.774,9,0.7328,0.0048
371,31,153.702,6,0.8077,0.2316
183,35,129.753,19,0.7988,0.5632
927,61,704.11,14,0.8869,0.147
782,97,82.299,1,0.8007,0.0125
644,163,719.574,12,0.5677,0.0
403,43,518.523,9,0.9854,0.0545
823,158,453.297,5,0.9691,0.0116
546,182,244.974,16,0.6163,0.1565
444,88,624.884,14,0.9798,0.113
451,193,655.289,10,0.9882,0.0779
228,179,519.896,8,0.8205,0.0843
93,160,511.265,5,0.8653,0.0037
555,77,355.325,13,0.3799,0.0
888,61,56.502,18,0.4892,0.4001
64,173,719.301,14,0.3857,0.0341
859,89,11.692,1,0.4073,0.1118
828,7,356.938,14,0.8441,0.2554
277,144,264.653,9,0.4433,0.0606
632,70,558.927,14,0.5646,0.0379
166,188,529.894,8,0.6055,0.0
759,172,452.382,9,0.3479,0.0
701,21,54.274,10,0.9029,0.672
355,181,170.913,13,0.892,0.4631
68,190,68.247,17,0.3134,0.1994
971,152,704.873,19,0.7145,0.0766
446,56,92.44,4,0.719,0.1503
894,134,696.395,2,0.7376,0.0085
678,174,81.596,17,0.4811,0.345
779,164,620.875,16,0.4184,0.0043
760,87,413.946,6,0.3606,0.0
195,142,598.927,3,0.8049,0.0368
364,78,456.687,3,0.6446,0.0294
467,51,553.678,10,0.7289,0.0444
498,135,526.319,6,0.6904,0.0391
44,94,187.705,4,0.7605,0.0875
547,45,673.267,17,0.7938,0.0964
155,133,463.603,16,0.4482,0.04
744,65,145.9,11,0.7816,0.3884
684,118,220.697,1,0.4932,0.0495
923,73,384.03,3,0.3194,0.0108
745,178,634.974,15,0.8732,0.1247
367,171,573.764,8,0.8261,0.069
968,95,217.824,9,0.8268,0.2485
411,143,495.866,17,0.563,0.0567
326,36,1.692,6,0.8415,0.7758
906,200,239.835,20,0.5029,0.1755
371,43,604.589,20,0.5086,0.0475
77,174,109.289,12,0.5561,0.3057
470,170,254.768,6,0.8065,0.0898
796,36,1.251,20,0.4738,0.4496
190,2,17.144,5,0.352,0.2446
463,148,105.561,18,0.4815,0.2457
130,174,73.79,9,0.6215,0.3911
687,144,352.86,18,0.5232,0.1457
476,12,648.053,7,0.8038,0.0
331,130,61.4,15,0.3542,0.1977
227,79,626.348,15,0.7592,0.0856
565,184,481.24,8,0.5197,0.0482
670,161,122.02,1,0.4287,0.0
941,160,208.965,6,0.4633,0.03
438,82,140.215,14,0.439,0.176
161,65,568.4,16,0.9027,0.1363
833,165,522.21,9,0.5068,0.0
630,24,219.523,18,0.869,0.4653
701,21,39.594,16,0.5031,0.4158
98,13,121.909,3,0.3026,0.0
313,103,453.696,7,0.3048,0.0009
768,16,65.523,11,0.5574,0.3558
833,117,386.487,1,0.8979,0.0008
436,34,441.502,6,0.7142,0.0365
805,179,495.339,16,0.7757,0.1567
842,87,90.693,18,0.5903,0.4075
388,19,331.258,3,0.4927,0.0125
899,139,333.914,12,0.7501,0.1463
289,68,601.486,10,0.7056,0.0
240,53,337.742,18,0.3244,0.056
683,132,293.19,17,0.6872,0.2251
637,192,89.33,20,0.7415,0.5516
140,196,500.167,19,0.5579,0.1161
833,88,446.439,15,0.5394,0.0761
200,170,516.345,5,0.8512,0.0008
805,42,472.696,5,0.5596,0.0228
8,170,630.267,17,0.5005,0.0112
797,189,631.751,14,0.8493,0.1049
787,104,221.878,16,0.9894,0.5531
781,105,131.745,6,0.4294,0.0419
665,113,667.101,19,0.5649,0.0489
472,15,513.532,4,0.3018,0.0
706,172,699.118,17,0.64,0.0297
278,148,358.06,7,0.498,0.0
781,174,692.834,2,0.8779,0.0
556,24,88.796,17,0.941,0.7531
459,161,425.267,19,0.3813,0.0
506,73,357.901,20,0.9047,0.4063
569,164,2.403,1,0.4505,0.3058
38,199,139.291,10,0.5156,0.1525
140,176,110.923,7,0.92,0.4464
246,184,44.252,7,0.5557,0.3454
115,23,682.693,8,0.3118,0.0058
440,66,695.082,1,0.3363,0.0
669,59,642.114,10,0.5364,0.0078
655,103,712.0,2,0.9191,0.017
472,196,598.163,5,0.3621,0.0
856,138,671.204,15,0.4369,0.0001
566,109,142.696,3,0.9771,0.0925
80,161,185.328,14,0.588,0.2517
765,36,620.757,17,0.9109,0.1397
575,133,345.474,20,0.5684,0.1872
635,101,516.362,13,0.6628,0.1094
566,41,404.794,18,0.9629,0.3514
554,130,220.407,10,0.9695,0.3566
91,169,205.439,19,0.4159,0.1361
